XX LL 00 01 04 05 08 09 0B 0C 0D 10 11 13 14 15 16 17 1A 1C 1E 1F 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 92 69 3C 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3C 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3C 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3C 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 96 69 3C 00 B1 23 00 44 08 01 2D 16 7C 80 79 40 02 
FF 14 00 9C 01 96 69 3C 00 B1 23 00 44 08 01 2E 16 7C 80 79 40 02 
FF 14 00 9C 01 96 69 3C 00 B1 23 00 44 08 01 2F 16 7C 80 79 40 02 
FF 14 00 9C 01 96 69 3D 00 B1 23 00 44 08 01 2F 16 7C 80 79 40 02 
FF 14 00 9C 01 96 69 3D 00 B1 23 00 44 08 01 2F 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 30 16 7C 80 79 40 02 
FF 14 00 9C 01 92 69 3D 00 B1 23 00 44 08 01 2E 16 7C 80 79 40 02 
FF 14 00 9C 01 91 69 3D 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3D 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3D 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3D 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 2D 16 7C 80 79 40 02 
FF 14 00 9C 01 97 69 3D 00 B1 23 00 44 08 01 2D 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3D 00 B1 23 00 44 08 01 2E 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3D 00 B1 23 00 44 08 01 2E 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3D 00 B1 23 00 44 08 01 2D 16 7C 80 79 40 02 
FF 14 00 9D 01 94 69 3D 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9D 01 94 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9D 01 94 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9D 01 92 69 3E 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9C 01 95 69 3E 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3E 00 B1 23 00 44 08 01 2A 16 7C 80 79 40 02 
FF 14 00 9C 01 93 69 3E 00 B1 23 00 44 08 01 29 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 29 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9C 01 94 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9D 01 94 69 3E 00 B1 23 00 44 08 01 2C 16 7C 80 79 40 02 
FF 14 00 9D 01 94 69 3E 00 B1 23 00 44 08 01 2E 16 7C 80 79 40 02 
FF 14 00 9D 01 93 69 3E 00 B1 23 00 44 08 01 2B 16 7C 80 79 40 02 
FF 14 00 9D 01 94 6A 3E 00 B1 23 00 44 08 01 28 16 79 80 79 40 02 
